id,name,label,shortlabel,superclass,classification,subclass,family,distribution,designer,rg,xHeight,capHeight,xHeightRatio,capHeightRatio,xHeightRatioRounded,capHeightRatioRounded,adjust,xHeightPct,capHeightPct,0.70,18,24,link,Year,stylesheet,100 Greatest Fonts,Typewolf Google,Typewolf Adobe,Google Analytics,Google Analytics Score,100 Greatest Score,Typewolf Google Score,Typewolf Adobe Score,Good Fonts Table,FontsInUse,Adjust,Score,Quality,Utility,Underrated Boost,In Use Boost,Weight Boost,Rating,inuse
128,Soleil,Soleil,Soleil,Sans,Geometric,Proxima,,Adobe,Wolfgang Homola;TypeTogether,300;300i;400;400i;500;500i;600;600i;700;700i;800;800i,24,33.6,1.4,1.43,1.4,1.45,1.00298507462687,0.72,0.70,1.00,18,24,https://fonts.adobe.com/fonts/soleil,2011,dve1mkc,,,26,,,,,76,,5,,81,9,8,,,6,153,
129,Source Code Pro,Source Code Pro,Source Code,Mono,HumanistMono,Mono,Source,Google,Santiago Orozco,200..900;200..900i,23.33,31.5,1.35,1.52,1.35,1.5,0.940298507462687,0.74,0.66,1.06,19,25,https://fonts.google.com/specimen/Source+Code+Pro,2012,,,,,"15,500,573,032",44,,,,,5,,16,8,2,,5,10,32,Make Noise
130,Source Sans 3,Source Sans 3,Source Sans,Sans,Humanist,Frutiger,Source,Google,Paul D. Hunt,200..900;200..900i,23.33,31.5,1.35,1.52,1.35,1.5,0.940298507462687,0.74,0.66,1.06,19,25,https://fonts.google.com/specimen/Source+Sans+3,2012,,,9,,"15,953,974,794",46,,92,,15,5,,123.5,10,10,,15,10,223.5,Unbounce;Royal College of Art;Saatva
131,Source Serif 4,Source Serif 4,Source Serif,Serif,Transitional,Bookman,Source,Google,Frank Grießhammer,200..900;200..900i,23.62,32.16,1.36,1.49,1.35,1.5,0.96,0.74,0.68,1.03,19,25,https://fonts.google.com/specimen/Source+Serif+4,2012,,,10,,"4,868,517,904",28,,91,,15,5,,118,6,6,,15,10,154,Greenpeace (EU);Room To Read;Saatva;Evidation;Epicurious;Medium;
132,Spectral,Spectral,Spectral,Serif,Old Style,Garamond,,Google,Production Type,200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i,21.6,31.68,1.47,1.52,1.45,1.5,0.945671641791045,0.68,0.66,1.06,19,25,https://fonts.google.com/specimen/Spectral,2017,,,26,,"3,500,459,410",25,,75,,,5,,86.25,6,6,,15,,122.25,
133,Tablet Gothic,Tablet Gothic,Tablet Gothic,Sans,Grotesque,Franklin,,Adobe,José Scaglione;Veronika Burian,200;200i;300;300i;400;400i;600;600i;700;700i;800;800i;900;900i,24.58,35.23,1.43,1.36,1.45,1.35,1.05164179104478,0.70,0.74,0.95,17,23,https://fonts.adobe.com/fonts/tablet-gothic,2012,vap4yal,,,32,,,,,70,,5,,75,9,10,,,,165,
134,Trade Gothic Next,Trade Gothic Next,Trade Gothic,Sans,Grotesque,Franklin,,Adobe,Jackson Burke;Akira Kobayashi;Tom Grace,300;300i;400;400i;700;700i;800;800i,24.86,34.46,1.39,1.39,1.4,1.4,1.02865671641791,0.72,0.72,0.97,18,23,https://fonts.adobe.com/fonts/trade-gothic-next,1948,opm5muz,58,,,,,43,,,15,15,,73,10,8,10,15,4,163,Amnesty;Booth School of Business;Gibson
135,Utopia Std,Utopia Std,Utopia,Serif,Transitional,Times,,Adobe,Robert Slimbach;Adobe Originals,400;400i;600;600i;700;700i,22.13,31.34,1.42,1.53,1.4,1.55,0.935522388059701,0.70,0.66,1.06,19,25,https://fonts.adobe.com/fonts/utopia,1989,omu3uvv,,,,,,,,,,5,15,20,10,8,10,5,3,110,Warby Parker
136,Vollkorn,Vollkorn,Vollkorn,Serif,Old Style,Garamond,,Google,Friedrich Althausen,400;400i;500;500i;700;700i;800;800i;900;900i,22.08,32.59,1.48,1.47,1.5,1.45,0.972835820895522,0.68,0.68,1.03,19,25,https://fonts.google.com/specimen/Vollkorn,2005,,,,,"4,366,251,227",27,,,,,5,-10,1.75,4,4,,,,17.75,
137,Work Sans,Work Sans,Work Sans,Sans,Grotesque,Blake,,Google,Wei Huang,100..900;100..900i,24,31.68,1.32,1.52,1.3,1.5,0.945671641791045,0.76,0.66,1.06,19,25,https://fonts.google.com/specimen/Work+Sans,2015,,,5,,"46,566,012,924",60,,96,,15,15,,141,9,10,,15,10,231,The Body Shop;Pure Electric;Conde Nast Traveller
138,Zilla Slab,Zilla Slab,Zilla Slab,Serif,Slab,Slab,,Google,Typotheque,300;300i;400;400i;500;500i;600;600i;700;700i,21.36,31.2,1.46,1.54,1.45,1.55,0.93134328358209,0.68,0.66,1.06,19,25,https://fonts.google.com/specimen/Zilla+Slab,2017,,,,,"7,928,340,012",32,,,15,,5,,28,8,7,,5,5,84,Mozilla
139,Matrix II,Matrix II,Matrix,Serif,Modern,Bodoni,,Adobe,Zuzana Licko,300;300i;400;400i;700;700i;800,24.38,33.98,1.39,1.41,1.4,1.4,1.01432835820896,0.72,0.70,1.00,18,24,https://fonts.adobe.com/fonts/matrix-ii,1986,frz6mkw,21,,,,,80,,,,5,,85,,,,,,85,
